iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k
SWE,Sweden,13/03/2020,1,0,0,0,0.099,0,0,0,,,,,,,,0,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22
SWE,Sweden,20/03/2020,1,0,0,0,0.099,0,0,0,,,,,,,,0,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22
SWE,Sweden,24/03/2020,2,1,0,0,0.198,0.099,0,0,,,,,,,,0,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22
SWE,Sweden,25/03/2020,7,5,0,0,0.693,0.495,0,0,,,,,,,,0,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22
SWE,Sweden,26/03/2020,12,5,0,0,1.188,0.495,0,0,,,,,,,,0,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22
SWE,Sweden,27/03/2020,13,1,0,0,1.287,0.099,0,0,900,,0.089,,,,people tested,0,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22
SWE,Sweden,28/03/2020,14,1,0,0,1.386,0.099,0,0,,,,,,,people tested,0,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22
SWE,Sweden,29/03/2020,15,1,0,0,1.485,0.099,0,0,,,,,,,people tested,0,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22
SWE,Sweden,30/03/2020,24,9,0,0,2.376,0.891,0,0,,,,,,,people tested,0,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22
SWE,Sweden,01/04/2020,35,11,0,0,3.466,1.089,0,0,,,,,,,people tested,0,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22
SWE,Sweden,02/04/2020,61,26,0,0,6.04,2.574,0,0,,,,,,,people tested,0,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22
SWE,Sweden,03/04/2020,137,76,0,0,13.565,7.525,0,0,,,,,,,people tested,0,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22
SWE,Sweden,04/04/2020,161,24,0,0,15.942,2.376,0,0,5200,,0.515,,614,0.061,people tested,0,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22
SWE,Sweden,05/04/2020,203,42,0,0,20.1,4.159,0,0,,,,,710,0.07,people tested,11.11,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22
SWE,Sweden,06/04/2020,248,45,0,0,24.556,4.456,0,0,,,,,806,0.08,people tested,11.11,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22
SWE,Sweden,07/04/2020,326,78,0,0,32.28,7.723,0,0,,,,,902,0.089,people tested,11.11,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22
SWE,Sweden,08/04/2020,462,136,1,1,45.746,13.466,0.099,0.099,,,,,998,0.099,people tested,16.67,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22
SWE,Sweden,09/04/2020,620,158,1,0,61.391,15.645,0.099,0,,,,,1094,0.108,people tested,16.67,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22
SWE,Sweden,10/04/2020,775,155,1,0,76.738,15.348,0.099,0,,,,,1190,0.118,people tested,16.67,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22
